OBJECTID,Juvenile_race_ethnicity,Juvenile_gender,status,status_reason,intake_date,CreationDate,Creator,EditDate,Editor
2001,Black,Female,Inactive-Unsuccessful,Unable to make Contact,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2002,Black,Female,Inactive-Unsuccessful,Unwilling To Participate,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2003,White,Male,Inactive-Unsuccessful,Unwilling To Participate,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2004,Black,Female,Rejected at Screening,Previous Charges,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2005,Black,Male,Rejected at Screening,Unwilling To Participate,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2006,Black,Male,Inactive-successful,,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2007,Black,Male,Inactive-successful,,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2008,Black,Female,Inactive-successful,,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2009,Black,Male,Inactive-successful,,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2010,Black,Male,Inactive-successful,NO FURTHER ACTION,2013-10-31T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
2011,Black,Male,Rejected at Screening,Inappropriate for Services,2013-10-30T00:00:00.000Z,2017-08-07T03:04:27.213Z,charlottedata,2017-08-07T03:04:27.213Z,charlottedata
