OBJECTID,DIVISION,DNAME,RA,CreationDate,Creator,EditDate,Editor,Shape__Area,Shape__Length
659,01,Central Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000316454037991,0.088699303578283
660,01,Central Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000431360061291,0.134538337064588
661,01,Central Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000312116936061,0.089016120388088
662,02,Metro Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001065627351775,0.150388503440898
663,02,Metro Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001304512974459,0.167301790017096
664,02,Metro Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000981143111736,0.135743176551839
665,06,Eastway Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000835774726063,0.167359229888318
666,06,Eastway Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000854084459602,0.128127755937121
667,06,Eastway Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000939206818034,0.150904330852877
668,07,North Tryon Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001036299899395,0.151711118333077
669,07,North Tryon Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001219331197679,0.252321359883702
670,07,North Tryon Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001046723131554,0.142944816227663
671,11,North Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.011442733422531,2.43758802117992
672,11,North Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.005290081593547,0.65153228300982
673,11,North Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.002963918413668,0.249489514737378
674,11,North Division,4,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.002324455280421,0.910341424494301
675,11,North Division,5,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.00066266540391,1.00217629657965
676,12,Hickory Grove Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000645603016425,0.114106007994066
677,12,Hickory Grove Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001911376753869,0.272021742860021
678,12,Hickory Grove Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.006754337250461,0.892215790521729
679,14,University City Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.005208694028804,0.335635410924591
680,14,University City Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.00286452719406,0.232129924135757
681,14,University City Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.003958450776764,0.319419366773722
682,16,Providence Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001654476602396,0.232908561561688
683,16,Providence Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000780273085767,0.136560137089591
684,16,Providence Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.002426832424413,0.247470758219102
685,17,Independence Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000929719893241,0.160816083900446
686,17,Independence Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.002393695845603,0.270560316773424
687,17,Independence Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001544545780953,0.25013364501008
688,21,Steele Creek Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.002792503474198,0.49168134549182
689,21,Steele Creek Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001389146715509,0.168515946119815
690,21,Steele Creek Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.009906587269749,1.29375166810656
691,21,Steele Creek Division,4,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001196250634865,1.69874548094897
692,22,South Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.004407322019862,0.322601853016629
693,22,South Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.005216905575518,0.385036329789848
694,22,South Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.005036556329556,0.409033711632229
695,26,Westover Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001949935976235,0.219054082162222
696,26,Westover Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001322832189233,0.198785204558546
697,26,Westover Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001011927050972,0.157478003760553
698,27,Freedom Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001350269048936,0.210230839191908
699,27,Freedom Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.00499222209153,0.456011621105669
700,27,Freedom Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.004066698637039,0.857276888423505
701,28,Airport Division,1,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,6.9440197056e-05,0.042802509611074
702,28,Airport Division,2,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,2.064812672e-06,0.007434281049202
703,28,Airport Division,3,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000169190486314,0.087632591790762
704,28,Airport Division,4,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.001257769944874,0.216473865596088
705,28,Airport Division,5,2017-09-01T03:34:34.000Z,CharlotteNC,2017-09-01T03:34:34.000Z,CharlotteNC,0.000505877748782,0.445249745372714
